Date,Emission_Type,Emissions_tCO2e,Consumption_Units,is_outlier,Emissions_capped,Year,Month
2020-01-01,Scope 1,54.483339,161731.731,False,54.483339,2020,2020-01
2020-01-01,Scope 2,65.017719,161731.731,False,65.017719,2020,2020-01
2020-01-02,Scope 1,59.236587,165297.418,False,59.236587,2020,2020-01
2020-01-02,Scope 2,64.95084,165297.418,False,64.95084,2020,2020-01
2020-01-03,Scope 1,59.415912,161509.3,False,59.415912,2020,2020-01
2020-01-03,Scope 2,63.679986,161509.3,False,63.679986,2020,2020-01
2020-01-04,Scope 1,54.171903,144893.269,False,54.171903,2020,2020-01
2020-01-04,Scope 2,56.344293,144893.269,False,56.344293,2020,2020-01
2020-01-05,Scope 1,53.712081,148244.992,False,53.712081,2020,2020-01
2020-01-05,Scope 2,57.477111,148244.992,False,57.477111,2020,2020-01
2020-01-06,Scope 1,55.103046,154411.153,False,55.103046,2020,2020-01
2020-01-06,Scope 2,62.434851,154411.153,False,62.434851,2020,2020-01
2020-01-07,Scope 1,56.221668,164056.811,False,56.221668,2020,2020-01
2020-01-07,Scope 2,66.688923,164056.811,False,66.688923,2020,2020-01
2020-01-08,Scope 1,58.844253,159235.486,False,58.844253,2020,2020-01
2020-01-08,Scope 2,63.006392999999996,159235.486,False,63.006392999999996,2020,2020-01
2020-01-09,Scope 1,59.682165,163853.904,False,59.682165,2020,2020-01
2020-01-09,Scope 2,64.84949399999999,163853.904,False,64.84949399999999,2020,2020-01
2020-01-10,Scope 1,58.898784,160780.031,False,58.898784,2020,2020-01
2020-01-10,Scope 2,65.016174,160780.031,False,65.016174,2020,2020-01
2020-01-11,Scope 1,53.951607,139561.807,False,53.951607,2020,2020-01
2020-01-11,Scope 2,52.886256,139561.807,False,52.886256,2020,2020-01
2020-01-12,Scope 1,50.334492000000004,140731.946,False,50.334492000000004,2020,2020-01
2020-01-12,Scope 2,55.612871999999996,140731.946,False,55.612871999999996,2020,2020-01
2020-01-13,Scope 1,58.170396,156952.171,False,58.170396,2020,2020-01
2020-01-13,Scope 2,60.32667,156952.171,False,60.32667,2020,2020-01
2020-01-14,Scope 1,58.563807,162997.906,False,58.563807,2020,2020-01
2020-01-14,Scope 2,64.025808,162997.906,False,64.025808,2020,2020-01
2020-01-15,Scope 1,57.971679,163136.042,False,57.971679,2020,2020-01
2020-01-15,Scope 2,64.944996,163136.042,False,64.944996,2020,2020-01
2020-01-16,Scope 1,59.026880999999996,161976.35,False,59.026880999999996,2020,2020-01
2020-01-16,Scope 2,63.765798000000004,161976.35,False,63.765798000000004,2020,2020-01
2020-01-17,Scope 1,56.270043,147962.447,False,56.270043,2020,2020-01
2020-01-17,Scope 2,57.436383,147962.447,False,57.436383,2020,2020-01
2020-01-18,Scope 1,49.510326,129793.129,False,49.510326,2020,2020-01
2020-01-18,Scope 2,50.597784,129793.129,False,50.597784,2020,2020-01
2020-01-19,Scope 1,52.488333,144071.982,False,52.488333,2020,2020-01
2020-01-19,Scope 2,57.333549,144071.982,False,57.333549,2020,2020-01
2020-01-20,Scope 1,56.684475,156751.338,False,56.684475,2020,2020-01
2020-01-20,Scope 2,65.168313,156751.338,False,65.168313,2020,2020-01
2020-01-21,Scope 1,61.920096,167699.223,False,61.920096,2020,2020-01
2020-01-21,Scope 2,63.735606,167699.223,False,63.735606,2020,2020-01
2020-01-22,Scope 1,60.020955,159860.95500000002,False,60.020955,2020,2020-01
2020-01-22,Scope 2,59.581014,159860.95500000002,False,59.581014,2020,2020-01
2020-01-23,Scope 1,57.960849,163652.833,False,57.960849,2020,2020-01
2020-01-23,Scope 2,65.910366,163652.833,False,65.910366,2020,2020-01
2020-01-24,Scope 1,57.927762,165688.088,False,57.927762,2020,2020-01
2020-01-24,Scope 2,64.688952,165688.088,False,64.688952,2020,2020-01
2020-01-25,Scope 1,50.9676,142324.325,False,50.9676,2020,2020-01
2020-01-25,Scope 2,57.526998,142324.325,False,57.526998,2020,2020-01
2020-01-26,Scope 1,52.756848,148550.611,False,52.756848,2020,2020-01
2020-01-26,Scope 2,58.870425,148550.611,False,58.870425,2020,2020-01
2020-01-27,Scope 1,60.528696000000004,161114.161,False,60.528696000000004,2020,2020-01
2020-01-27,Scope 2,61.099977,161114.161,False,61.099977,2020,2020-01
2020-01-28,Scope 1,52.949184,154153.006,False,52.949184,2020,2020-01
